,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,mean_train_score,std_train_score,mean_test_score,std_test_score,rank_test_score
0,1,10,15,20,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
1,1,10,15,25,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
2,1,10,15,30,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
3,1,10,15,35,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
4,1,10,20,20,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
5,1,10,20,25,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
6,1,10,20,30,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
7,1,10,20,35,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
8,1,10,25,20,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
9,1,10,25,25,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
10,1,10,25,30,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
11,1,10,25,35,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
12,1,10,30,20,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
13,1,10,30,25,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
14,1,10,30,30,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
15,1,10,30,35,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
16,1,10,35,20,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
17,1,10,35,25,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
18,1,10,35,30,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
19,1,10,35,35,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
20,1,10,40,20,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
21,1,10,40,25,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
22,1,10,40,30,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
23,1,10,40,35,15,0.7728227500403944,0.0022888489643858342,0.7712608391231756,0.004903239802549074,197
